| B5-17 | S56-S58 | 3 | C12, C13 | S6, S11 | 2-3格（高潮加密） | 两经理抬头，吊灯缓落→撞入观众席 |
| B5-18 | S59-S60 | 2 | — | S11 | 1格 | 观众尖叫逃跑，一人遇难 |

---

## 覆盖验证

- 总句数：60
- 已覆盖：60（S01-S60 全部归属，无遗漏）
- 未覆盖：0
- 等式成立：60 = 60 ✓

---

## 超限检查

| 分镜 | 句数 | 状态 |
|---|---|---|
| B5-1 | 4 | 正常 |
| B5-2 | 4 | 正常（原S05-S12共8句，已在S08/S09处拆分） |
| B5-3 | 4 | 正常 |
| B5-4 | 2 | 正常 |
| B5-5 | 3 | 正常 |
| B5-6 | 4 | 正常 |
| B5-7 | 1 | 正常 |
| B5-8 | 3 | 正常 |
| B5-9 | 3 | 正常 |
| B5-10 | 3 | 正常 |
| B5-11 | 4 | 正常 |
| B5-12 | 4 | 正常 |
| B5-13 | 4 | 正常 |
| B5-14 | 3 | 正常 |
| B5-15 | 6 | 豁免（已扫描5对相邻句，四维度均无切换） |
| B5-16 | 3 | 正常 |
| B5-17 | 3 | 正常（原S56-S60共5句，已在S58/S59处拆分） |
| B5-18 | 2 | 正常 |

所有分镜 covered_sentences ≤ 6，无 ≥ 7 句项目。
